masterImageId	displayLabel	sourceLabel	sourceImageNumber	caseClusterId	plainFilename	plainUrl	annotatedFilename	annotatedUrl	caption	downloadRecommendation
SDX-09	STATdx image 9	STATdx	9	SDX-07-09	SDX-09_STATdx_plain_e4b932ff.jpg	https://app.statdx.com/image/thumbnail/e4b932ff-3e23-4ce0-863f-dea615269d92?size=1000&quality=90	SDX-09_STATdx_annotated_e4b932ff.jpg	https://app.statdx.com/image/thumbnail/e4b932ff-3e23-4ce0-863f-dea615269d92?annotated=true&size=1000&quality=90	"Axial CECT in the same patient shows chronic thrombosis of the left renal vein <img src=""arrow_WS.png"">  due to past pancreatitis. Rarely, secondary causes of varicocele include vascular thromboses, iatrogenic causes, and tumor compression/venous invasion."	primaryTeachingSet
SDX-10	STATdx image 10	STATdx	10	SDX-10-12	SDX-10_STATdx_plain_2cc0e05a.jpg	https://app.statdx.com/image/thumbnail/2cc0e05a-1550-4b67-987d-2c2997792943?size=1000&quality=90	SDX-10_STATdx_annotated_2cc0e05a.jpg	https://app.statdx.com/image/thumbnail/2cc0e05a-1550-4b67-987d-2c2997792943?annotated=true&size=1000&quality=90	Longitudinal color Doppler US of the left scrotum in a 20-year-old symptomatic patient shows dilated vessels with scattered Doppler signal at rest.	primaryTeachingSet
SDX-11	STATdx image 11	STATdx	11	SDX-10-12	SDX-11_STATdx_plain_dbf22f26.jpg	https://app.statdx.com/image/thumbnail/dbf22f26-2886-4fa3-bef1-61ecfcf9cc18?size=1000&quality=90	SDX-11_STATdx_annotated_dbf22f26.jpg	https://app.statdx.com/image/thumbnail/dbf22f26-2886-4fa3-bef1-61ecfcf9cc18?annotated=true&size=1000&quality=90	Longitudinal color Doppler US in the same patient with Valsalva shows increased size of vessels and marked increase in flow due to retrograde flow in the pampiniform plexus.	primaryTeachingSet
SDX-12	STATdx image 12	STATdx	12	SDX-10-12	SDX-12_STATdx_plain_7bf96703.jpg	https://app.statdx.com/image/thumbnail/7bf96703-ab80-4292-8333-6bd33a35f7e5?size=1000&quality=90	SDX-12_STATdx_annotated_7bf96703.jpg	https://app.statdx.com/image/thumbnail/7bf96703-ab80-4292-8333-6bd33a35f7e5?annotated=true&size=1000&quality=90	"Anterior projection venogram in the same patient after coil embolization of the varicocele shows lack of reflux caudal to the coil mass  <img src=""arrow_WS.png"">."	primaryTeachingSet
SDX-13	STATdx image 13	STATdx	13		SDX-13_STATdx_plain_a6f64236.jpg	https://app.statdx.com/image/thumbnail/a6f64236-303d-4774-beac-dcb29b23128c?size=1000&quality=90	SDX-13_STATdx_annotated_a6f64236.jpg	https://app.statdx.com/image/thumbnail/a6f64236-303d-4774-beac-dcb29b23128c?annotated=true&size=1000&quality=90	"Transverse color Doppler US shows tortuous, hypoechoic structures <img src=""arrow_WS.png""> in the testis at the mediastinum with minimal flow. Rarely, a varicocele extends into or occurs primarily in the testis. This should not be confused with dilation of the rete testis."	primaryTeachingSet
SDX-14	STATdx image 14	STATdx	14	SDX-14-16	SDX-14_STATdx_plain_e089ca5f.jpg	https://app.statdx.com/image/thumbnail/e089ca5f-da6d-4ec0-8ab5-38c91e79b505?size=1000&quality=90	SDX-14_STATdx_annotated_e089ca5f.jpg	https://app.statdx.com/image/thumbnail/e089ca5f-da6d-4ec0-8ab5-38c91e79b505?annotated=true&size=1000&quality=90	"Transverse US of both testes shows multiple hypoechoic, tubular structures <img src=""arrow_WS.png""> along the medial aspect of the left testis."	primaryTeachingSet
SDX-15	STATdx image 15	STATdx	15	SDX-14-16	SDX-15_STATdx_plain_28d82145.jpg	https://app.statdx.com/image/thumbnail/28d82145-ef7c-4ad4-872b-161d10f155b3?size=1000&quality=90	SDX-15_STATdx_annotated_28d82145.jpg	https://app.statdx.com/image/thumbnail/28d82145-ef7c-4ad4-872b-161d10f155b3?annotated=true&size=1000&quality=90	"Longitudinal US of the left scrotum in the same patient shows the tubular and serpiginous nature of the lesion <img src=""arrow_WS.png"">."	primaryTeachingSet
SDX-16	STATdx image 16	STATdx	16	SDX-14-16	SDX-16_STATdx_plain_c641b5a3.jpg	https://app.statdx.com/image/thumbnail/c641b5a3-a308-458d-8e33-a4223f98856d?size=1000&quality=90	SDX-16_STATdx_annotated_c641b5a3.jpg	https://app.statdx.com/image/thumbnail/c641b5a3-a308-458d-8e33-a4223f98856d?annotated=true&size=1000&quality=90	"Color Doppler US in the same patient with Valsalva shows marked blood flow <img src=""arrow_WS.png"">, consistent with a moderate-sized varicocele."	primaryTeachingSet
SDX-17	STATdx image 17	STATdx	17		SDX-17_STATdx_plain_26e07fdd.jpg	https://app.statdx.com/image/thumbnail/26e07fdd-21f4-4e41-8669-8448be5a7451?size=1000&quality=90	SDX-17_STATdx_annotated_26e07fdd.jpg	https://app.statdx.com/image/thumbnail/26e07fdd-21f4-4e41-8669-8448be5a7451?annotated=true&size=1000&quality=90	"Longitudinal US of the right scrotum in the setting of a palpable mass shows an isolated, right-sided varicocele <img src=""arrow_WS.png"">. Further work-up showed no malignancy. In the past, this was thought to be highly associated with malignancy; however, more recent experience shows that isolated, right-sided varicocele is rarely associated with malignancy. When it does occur in the setting of malignancy, there are often other concerning symptoms."	primaryTeachingSet
SDX-18	STATdx image 18	STATdx	18		SDX-18_STATdx_plain_d4634fab.jpg	https://app.statdx.com/image/thumbnail/d4634fab-b60f-44b3-92a9-da15dcedc98a?size=1000&quality=90	SDX-18_STATdx_annotated_d4634fab.jpg	https://app.statdx.com/image/thumbnail/d4634fab-b60f-44b3-92a9-da15dcedc98a?annotated=true&size=1000&quality=90	Color Doppler US in an older man with scrotal discomfort shows a huge left varicocele. The late onset prompted imaging of the retroperitoneum, which showed marked dilatation of the cava and renal veins due to severe right heart dysfunction.	primaryTeachingSet
